circuitid,failure_count,alt
14,219,162
10,110,103
9,108,153
13,102,401
70,93,678
6,83,7
7,71,13
21,70,37
20,69,578
30,67,1460
46,64,485
39,63,6
22,53,45
11,51,264
32,50,2227
55,49,88
18,48,785
34,44,432
19,42,223
38,41,145
25,41,8
8,38,228
4,37,109
27,32,130
1,28,10
2,27,18
45,26,609
36,25,1126
29,25,58
40,25,36
26,18,37
3,15,7
47,14,153
41,13,484
48,13,332
37,12,177
66,12,551
58,11,20
33,10,345
67,10,85
49,9,79
53,7,81
16,7,583
44,6,639
15,6,18
51,5,790
24,5,3
50,4,139
17,4,5
64,4,19
59,4,28
69,4,161
65,3,129
52,3,214
28,3,266
43,3,12
56,3,15
57,2,676
54,2,67
12,2,4
60,2,470
80,2,642
35,1,0
62,1,158
68,1,194
61,1,53
5,1,130
77,1,15
63,1,18
